Opp. Id;ContactId;RecordType.Name;Account.Name;Amount;Platform__c;CloseDate;Donation_Date__c;StageName;Campaign.Name
0065G00000oHykyQAC;0035G000027JHhfQAG;Donation;`1531;100,8;Give Lively;6.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHykzQAC;0035G000027JHhgQAG;Donation;`2067;51,43;Give Lively;1.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl0QAC;0035G000027JHhhQAG;Donation;`2101;102,56;Give Lively;31.03.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl1QAC;0035G000027JHhiQAG;Donation;`2186;102,56;Give Lively;12.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl2QAC;0035G000027JHhjQAG;Donation;`2186;100;Give Lively;8.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl3QAC;0035G000027JHhkQAG;Donation;`2683;102,56;Give Lively;7.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl4QAC;0035G000027JHhlQAG;Donation;`0748;50,4;Give Lively;8.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl5QAC;0035G000027JHhmQAG;Donation;`2792;10;Give Lively;1.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl6QAC;0035G000027JHhnQAG;Donation;`3273;50;Give Lively;31.03.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl7QAC;0035G000027JHhoQAG;Donation;`3371;25;Give Lively;1.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl8QAC;0035G000027JHhpQAG;Donation;`3653;50;Give Lively;4.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHyl9QAC;0035G000027JHhqQAG;Donation;`3895;50;Give Lively;31.03.2022;;Closed Won;2022 Honoring CJ
0065G00000oHylAQAS;0035G000027JHhrQAG;Donation;`4454;51,43;Give Lively;6.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHylBQAS;0035G000027JHhsQAG;Donation;`4597;25,87;Give Lively;8.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHylCQAS;0035G000027JHhtQAG;Donation;`4674;51,43;Give Lively;31.03.2022;;Closed Won;2022 Honoring CJ
0065G00000oHylDQAS;0035G000027JHhuQAG;Donation;`4923;25,87;Give Lively;1.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oHylEQAS;0035G000027JHhvQAG;Donation;`5356;25,87;Give Lively;1.04.2022;;Closed Won;2022 Honoring CJ
0065G00000oI8KQQA0;003f40000172qZjAAI;Donation;`4297;375;Applied Art;14.04.2022;;Closed Won;2022 EWC
0065G00000oI8MMQA0;003f40000172oEJAAY;Donation;`2132;75;Applied Art;15.04.2022;;Closed Won;2022 EWC
0065G00000oI8MNQA0;003f400001F4ULBAA3;Donation;`2771;75;Applied Art;18.04.2022;;Closed Won;2022 EWC
0065G00000oI8NKQA0;0035G000024820NQAQ;Donation;`3508;75;Applied Art;17.04.2022;;Closed Won;2022 EWC
